,APO,,DATA,,,Global,Critical Data,Data documentation,Data governance,Data privacy,Data quality,Datalake Integration,Reference data,,,,,,,,,,,,,,,
,,Last Released Assessment,ACCESSIBILITY,null,Level,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Released Assessment -1,ACCESSIBILITY,null,Score,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Released Assessment -1,ACCESSIBILITY,null,Level,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,ACCESSIBILITY,null,Percentage,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,ACCESSIBILITY,null,Percentage,0,0,,,,,,,,,,,,,,,,,,,,,
,BOM_MANAGER,Théo Plouvin,DATA,,,Global,Critical Data,Data documentation,Data governance,Data privacy,Data quality,Datalake Integration,Reference data,,,,,,,,,,,,,,,
,,Last Released Assessment,DATA,2026-08-27,Score,"1,667",0,0,"3,125",0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment,DATA,2026-08-27,Level,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DATA,2026-06-11,Score,"1,042",0,0,"1,875",0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DATA,2026-06-11,Level,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DATA,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DATA,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,BOM_MANAGER,Théo Plouvin,DELIVERY,,,Global,Accelerate,Application Configuration Management,Chaos Engineering,Continous Integration,Continuous Deployment,Database Control,Documentation,Service Availability,Workflows,,,,,,,,,,,,,
,,Last Released Assessment,DELIVERY,2026-08-27,Score,"4,167","2,5",5,0,5,"4,5",5,0,5,0,,,,,,,,,,,,,
,,Last Released Assessment,DELIVERY,2026-08-27,Level,2,2,3,0,5,4,3,0,3,0,,,,,,,,,,,,,
,,Last Released Assessment -1,DELIVERY,2025-07-28,Score,"3,556","3,5",5,2,5,4,5,0,5,5,,,,,,,,,,,,,
